municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;tentado_consumado;qtde_vitimas
310160;ALFENAS;02/02/2023;2;2023;18º Departamento - Poços de Caldas;3) Interior de MG;TENTADO;1
310240;ALVORADA DE MINAS;08/03/2023;3;2023;14º Departamento - Curvelo;3) Interior de MG;TENTADO;1
310350;ARAGUARI;06/04/2023;4;2023;9º Departamento - Uberlândia;3) Interior de MG;TENTADO;1
310350;ARAGUARI;22/06/2023;6;2023;9º Departamento - Uberlândia;3) Interior de MG;TENTADO;1
310350;ARAGUARI;06/07/2023;7;2023;9º Departamento - Uberlândia;3) Interior de MG;TENTADO;1
310560;BARBACENA;15/06/2023;6;2023;13º Departamento - Barbacena;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;01/01/2023;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;06/01/2023;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;14/01/2023;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;19/02/2023;2;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;23/02/2023;2;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;2
310620;BELO HORIZONTE;21/03/2023;3;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;02/04/2023;4;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;29/04/2023;4;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;15/05/2023;5;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;21/05/2023;5;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;08/06/2023;6;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;2
310620;BELO HORIZONTE;17/06/2023;6;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TENTADO;1
